# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	8035
#@/user_id	current
bai tian 	白天	c=15 d=0.108609 t=7478
bai wan 	百万	c=13 d=1.17381e-22 t=7478
bai wei shu 	白位数	c=1 d=1.67686e-23 t=7478
bai xue bing 	白血病	c=1 d=1.67686e-23 t=7478
bai ye 	白页	c=1 d=1.67686e-23 t=7478
bai yi 	百亿	c=2 d=2.51529e-23 t=7478
bai zi 	摆子	c=1 d=1.67686e-23 t=7478
ban 	伴	c=6 d=5.869e-23 t=7478
ban 	办	c=31 d=2.68298e-22 t=7478
ban 	半	c=68 d=5.78517e-22 t=7478
ban 	拌	c=1 d=1.67686e-23 t=7478
ban 	搬	c=47 d=4.02446e-22 t=7478
ban 	板	c=22 d=1.92839e-22 t=7478
ban 	版	c=213 d=1.79424e-21 t=7478
ban 	班	c=43 d=0.00215271 t=7478
ban ban 	斑斑	c=18 d=1.59302e-22 t=7478
ban ban 	板板	c=2 d=2.51529e-23 t=7478
ban bei jiu 	半杯酒	c=6 d=5.869e-23 t=7478
ban bei zi 	半辈子	c=1 d=1.67686e-23 t=7478
ban ben 	版本	c=1276 d=1.00235 t=7481
ban cheng pin 	半成品	c=1 d=1.67686e-23 t=7478
ban cun 	半寸	c=1 d=1.67686e-23 t=7478
ban dao ti 	半导体	c=1 d=1.67686e-23 t=7478
ban deng 	板凳	c=1 d=1.67686e-23 t=7478
ban dian 	半点	c=1 d=1.67686e-23 t=7478
ban fa 	办法	c=137 d=1.15703e-21 t=7478
ban ge 	半个	c=8 d=7.54587e-23 t=7478
ban ge duo yue 	半个多月	c=1 d=1.67686e-23 t=7478
ban ge yue 	半个月	c=18 d=1.59302e-22 t=7478
ban gong 	办公	c=10 d=9.22275e-23 t=7478
ban gong lou 	办公楼	c=1 d=1.67686e-23 t=7478
ban gong shi 	办公室	c=2 d=2.51529e-23 t=7478
ban gong si 	办公司	c=1 d=1.67686e-23 t=7478
ban guo 	搬过	c=1 d=1.67686e-23 t=7478
ban guo qu 	搬过去	c=1 d=1.67686e-23 t=7478
ban han 	半酣	c=1 d=1.67686e-23 t=7478
ban hui 	半会	c=4 d=4.19214e-23 t=7478
ban jia 	搬家	c=9 d=8.38431e-23 t=7478
ban jia 	板甲	c=1 d=1.67686e-23 t=7478
ban jin 	半斤	c=10 d=9.22275e-23 t=7478
ban lan 	斑斓	c=1 d=1.67686e-23 t=7478
ban lv 	伴侣	c=3 d=3.35372e-23 t=7478
ban nian 	半年	c=49 d=1.39528e-08 t=7478
ban nian duo 	半年多	c=2 d=2.51529e-23 t=7478
ban nian qian 	半年前	c=2 d=2.51529e-23 t=7478
ban quan 	版权	c=12 d=2.18406 t=7483
ban shan yao 	半山腰	c=1 d=1.67686e-23 t=7478
ban shi 	搬屎	c=1 d=4.11005e-11 t=7478
ban si bu huo 	半死不活	c=2 d=2.51529e-23 t=7478
ban tian 	半天	c=74 d=2.99947e-11 t=7478
ban xiao shi 	半小时	c=32 d=0.00357068 t=7478
ban xue 	半血	c=2 d=2.51529e-23 t=7478
ban yan 	扮演	c=0 d=0 t=7478
ban ye 	半夜	c=13 d=1.17381e-22 t=7478
ban yun 	搬运	c=1 d=1.67686e-23 t=7478
ban zhang 	班长	c=1 d=1.67686e-23 t=7478
ban zhu 	版主	c=1 d=1.67686e-23 t=7478
ban zi 	板子	c=7 d=6.70744e-23 t=7478
ban zi 	班子	c=1 d=1.67686e-23 t=7478
ban zi 	绊子	c=1 d=1.67686e-23 t=7478
ban zou 	伴奏	c=34 d=2.93451e-22 t=7478
ban zou 	搬走	c=1 d=1.67686e-23 t=7478
bang 	帮	c=39 d=3.35372e-22 t=7478
bang 	绑	c=2 d=2.51529e-23 t=7478
bang 	膀	c=2 d=2.51529e-23 t=7478
bang bang 	帮帮	c=3 d=3.35372e-23 t=7478
bang bang 	邦邦	c=1 d=1.67686e-23 t=7478
bang dang 	帮当	c=1 d=1.67686e-23 t=7478
bang ding 	绑定	c=75 d=6.37205e-22 t=7478
bang gua o 	帮挂哦	c=1 d=1.67686e-23 t=7478
bang guo 	帮过	c=1 d=1.67686e-23 t=7478
bang jia 	绑架	c=1 d=1.67686e-23 t=7478
bang ke 	棒客	c=1 d=1.67686e-23 t=7478
bang mang 	帮忙	c=719 d=0.000382393 t=7478
bang ni 	帮你	c=4 d=4.19214e-23 t=7478
bang shang 	绑上	c=1 d=1.67686e-23 t=7478
bang shou 	帮手	c=1 d=1.67686e-23 t=7478
bang tuo 	帮脱	c=1 d=1.67686e-23 t=7478
bang wo 	帮我	c=479 d=2.30046 t=7478
bang wo kan 	帮我看	c=1 d=1.67686e-23 t=7478
bang zhu 	帮助	c=4 d=4.19214e-23 t=7478
bao 	保	c=3 d=3.35372e-23 t=7478
bao 	包	c=760 d=0.000483726 t=7478
bao 	堡	c=1 d=1.67686e-23 t=7478
bao 	宝	c=18 d=0.546074 t=7478
bao 	报	c=615 d=0.000154549 t=7478
bao 	爆	c=15 d=1.02389e-13 t=7478
bao 	褒	c=1 d=1.67686e-23 t=7478
bao 	饱	c=1 d=1.67686e-23 t=7478
bao an 	保安	c=5 d=5.03059e-23 t=7478
bao an 	宝安	c=2 d=2.51529e-23 t=7478
bao bao 	宝宝	c=7 d=6.70744e-23 t=7478
bao bei 	宝贝	c=1 d=1.67686e-23 t=7478
bao bei 	报备	c=4 d=0.0939491 t=7478
bao biao 	报表	c=35 d=3.01835e-22 t=7478
bao bu liao 	保不了	c=1 d=1.67686e-23 t=7478
bao chi 	保持	c=37 d=3.18605e-22 t=7478
bao chi 	包吃	c=1 d=1.67686e-23 t=7478
bao chou 	报酬	c=1 d=1.67686e-23 t=7478
bao chuo 	保戳	c=2 d=2.51529e-23 t=7478
bao cun 	保存	c=125 d=0.767995 t=7478
bao cuo 	报错	c=440 d=0.612626 t=7478
bao da 	暴打	c=6 d=5.869e-23 t=7478
bao dao 	报道	c=2 d=2.62068e-11 t=7478
bao di 	保底	c=2 d=2.51529e-23 t=7478
bao dian 	宝典	c=1 d=1.67686e-23 t=7478
bao fa 	爆发	c=2 d=2.51529e-23 t=7478
bao fa dian 	爆发点	c=1 d=1.67686e-23 t=7478
bao fu 	包袱	c=2 d=2.51529e-23 t=7478
bao fu 	暴富	c=1 d=1.67686e-23 t=7478
bao gao 	报告	c=9 d=8.38431e-23 t=7478
bao gei 	包给	c=4 d=4.19214e-23 t=7478
bao guan li 	包管理	c=1 d=1.67686e-23 t=7478
bao guang 	曝光	c=20 d=1.76071e-22 t=7478
bao guang lv 	曝光虑	c=1 d=1.67686e-23 t=7478
bao han 	包含	c=75 d=3.02267e-11 t=7478
bao he 	饱和	c=1 d=1.67686e-23 t=7478
bao hu 	保护	c=10 d=2.25059e-14 t=7478
bao hu mo shi 	保护模式	c=1 d=1.67686e-23 t=7478
bao hu xing 	保护性	c=1 d=1.67686e-23 t=7478
bao huang 	保皇	c=1 d=1.67686e-23 t=7478
bao huo 	保活	c=1 d=1.67686e-23 t=7478
bao ji 	暴击	c=1 d=1.67686e-23 t=7478
bao jie 	宝洁	c=1 d=1.67686e-23 t=7478
bao jing 	报警	c=8 d=7.54587e-23 t=7478
bao ke 	宝可	c=1 d=1.67686e-23 t=7478
bao ke ma 	宝可吗	c=1 d=1.67686e-23 t=7478
bao ke meng 	宝可梦	c=3 d=3.35372e-23 t=7478
bao kuo 	包括	c=191 d=0.185444 t=7478
bao lei 	堡垒	c=1 d=1.67686e-23 t=7478
bao lei 	暴雷	c=3 d=3.35372e-23 t=7478
bao li 	暴力	c=1 d=1.67686e-23 t=7478
bao liu 	保留	c=15 d=1.34149e-22 t=7478
bao long 	暴龙	c=2 d=2.51529e-23 t=7478
bao lu 	暴露	c=37 d=3.18605e-22 t=7478
bao lu le 	暴露了	c=1 d=1.67686e-23 t=7478
bao mi 	保密	c=6 d=7.52784e-13 t=7478
bao ming 	包名	c=8 d=7.54587e-23 t=7478
bao ming 	报名	c=3 d=3.35372e-23 t=7478
bao po 	爆破	c=1 d=1.67686e-23 t=7478
bao qian 	抱歉	c=3 d=3.35372e-23 t=7478
bao sha cuo 	保啥错	c=1 d=1.67686e-23 t=7478
bao shang 	报上	c=0 d=0 t=7478
bao shang lai 	保上来	c=1 d=1.67686e-23 t=7478
bao shang lai 	报上来	c=1 d=1.67686e-23 t=7478
bao shang qu 	保上去	c=1 d=1.67686e-23 t=7478
bao tou 	包头	c=2 d=2.51529e-23 t=7478
bao wei 	包围	c=2 d=2.51529e-23 t=7478
bao wen 	报文	c=2 d=2.51529e-23 t=7478
bao xian 	保险	c=9 d=8.38431e-23 t=7478
bao xiao 	报销	c=8 d=7.54587e-23 t=7478
bao xiu 	保修	c=1 d=1.67686e-23 t=7478
bao xiu 	报修	c=1 d=1.67686e-23 t=7478
bao yan 	保研	c=1 d=1.67686e-23 t=7478
bao yang 	保养	c=1 d=1.67686e-23 t=7478
bao yin bao shi 	暴饮暴食	c=1 d=1.67686e-23 t=7478
bao yu 	暴雨	c=1 d=0.00283702 t=7478
