# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	2174
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bao da 	暴打	c=6 d=1.89885e-12 t=2174
bao dao 	报道	c=2 d=0.847894 t=2174
bao di 	保底	c=2 d=8.13795e-13 t=2174
bao dian 	宝典	c=1 d=5.4253e-13 t=2174
bao fa 	爆发	c=2 d=8.13795e-13 t=2174
bao fa dian 	爆发点	c=1 d=5.4253e-13 t=2174
bao fu 	包袱	c=2 d=8.13795e-13 t=2174
bao fu 	暴富	c=1 d=5.4253e-13 t=2174
bao gao 	报告	c=9 d=2.71265e-12 t=2174
bao gei 	包给	c=4 d=1.35632e-12 t=2174
bao guan li 	包管理	c=1 d=5.4253e-13 t=2174
bao guang 	曝光	c=20 d=5.69656e-12 t=2174
bao guang lv 	曝光虑	c=1 d=5.4253e-13 t=2174
bao han 	包含	c=74 d=0.0235177 t=2174
bao he 	饱和	c=1 d=5.4253e-13 t=2174
bao hu 	保护	c=10 d=0.000728153 t=2174
bao hu mo shi 	保护模式	c=1 d=5.4253e-13 t=2174
bao hu xing 	保护性	c=1 d=5.4253e-13 t=2174
bao huang 	保皇	c=1 d=5.4253e-13 t=2174
bao huo 	保活	c=1 d=5.4253e-13 t=2174
bao ji 	暴击	c=1 d=5.4253e-13 t=2174
bao jie 	宝洁	c=1 d=5.4253e-13 t=2174
bao jing 	报警	c=8 d=2.44138e-12 t=2174
bao ke 	宝可	c=1 d=5.4253e-13 t=2174
bao ke ma 	宝可吗	c=1 d=5.4253e-13 t=2174
bao ke meng 	宝可梦	c=3 d=1.08506e-12 t=2174
bao kuo 	包括	c=190 d=5.18116e-11 t=2174
bao lei 	堡垒	c=1 d=5.4253e-13 t=2174
bao lei 	暴雷	c=3 d=1.08506e-12 t=2174
bao li 	暴力	c=1 d=5.4253e-13 t=2174
bao liu 	保留	c=15 d=4.34024e-12 t=2174
bao long 	暴龙	c=2 d=8.13795e-13 t=2174
bao lu 	暴露	c=37 d=1.03081e-11 t=2174
bao lu le 	暴露了	c=1 d=5.4253e-13 t=2174
bao mi 	保密	c=6 d=0.0243554 t=2174
bao ming 	包名	c=8 d=2.44138e-12 t=2174
bao ming 	报名	c=3 d=1.08506e-12 t=2174
bao po 	爆破	c=1 d=5.4253e-13 t=2174
bao qian 	抱歉	c=3 d=1.08506e-12 t=2174
bao sha cuo 	保啥错	c=1 d=5.4253e-13 t=2174
bao shang 	报上	c=0 d=0 t=2174
bao shang lai 	保上来	c=1 d=5.4253e-13 t=2174
bao shang lai 	报上来	c=1 d=5.4253e-13 t=2174
bao shang qu 	保上去	c=1 d=5.4253e-13 t=2174
bao tou 	包头	c=2 d=8.13795e-13 t=2174
bao wei 	包围	c=2 d=8.13795e-13 t=2174
bao wen 	报文	c=2 d=8.13795e-13 t=2174
bao xian 	保险	c=9 d=2.71265e-12 t=2174
bao xiao 	报销	c=8 d=2.44138e-12 t=2174
bao xiu 	保修	c=1 d=5.4253e-13 t=2174
bao xiu 	报修	c=1 d=5.4253e-13 t=2174
bao yan 	保研	c=1 d=5.4253e-13 t=2174
bao yang 	保养	c=1 d=5.4253e-13 t=2174
bao yin bao shi 	暴饮暴食	c=1 d=5.4253e-13 t=2174
bao yue 	包月	c=1 d=5.4253e-13 t=2174
bao zhang 	保障	c=4 d=1.35632e-12 t=2174
bao zhe 	抱着	c=1 d=5.4253e-13 t=2174
bao zheng 	保证	c=35 d=9.76553e-12 t=2174
bao zheng 	暴政	c=1 d=5.4253e-13 t=2174
bao zhi 	保值	c=1 d=5.4253e-13 t=2174
bao zhu 	保住	c=1 d=5.4253e-13 t=2174
