# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	12038
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
dcbk 	调包	c=1 d=3.89818e-06 t=12038
dcgd 	掉光	c=1 d=0.00208081 t=12038
dcmj 	刁蛮	c=1 d=0.00324708 t=12038
dcqu 	调取	c=1 d=2.5626e-12 t=12038
dcud 	屌	c=1 d=1.5931e-08 t=12038
ddd, 	短短的	c=6 d=0.0600301 t=12038
de 	的	c=2 d=6.91321e-11 t=12038
dghv 	等会	c=220 d=8.22739 t=12038
dgri 	等日	c=1 d=0.00136037 t=12038
dgxw 	等下	c=106 d=6.07583 t=12038
dhkl 	挡开	c=1 d=7.50711e-10 t=12038
dibm 	底边	c=1 d=1.2949e-11 t=12038
dierge 	第二个	c=65 d=1.35706 t=12038
dihb 	敌后	c=1 d=0.0314298 t=12038
dihd 	帝皇	c=3 d=0.496759 t=12038
disjge 	第三个	c=1 d=4.45085e-07 t=12038
dixi 	嫡系	c=10 d=1.15346 t=12038
diyige 	第一个	c=196 d=4.41315 t=12038
diyinm 	第一年	c=1 d=2.72013e-08 t=12038
diyk 	低腰	c=1 d=8.17312e-10 t=12038
djce 	单侧	c=3 d=0.226552 t=12038
djhh 	单行	c=3 d=0.0219278 t=12038
djkl 	单开	c=1 d=0.0816756 t=12038
djmu 	弹幕	c=1 d=0.00201931 t=12038
djtv 	单腿	c=1 d=0.183599 t=12038
dkbj 	倒班	c=2 d=6.18159e-10 t=12038
dkda 	到达	c=481 d=16.4258 t=12038
dktl 	倒台	c=2 d=1.76059 t=12038
dktu 	道徒	c=2 d=0.535261 t=12038
dktv 	倒推	c=1 d=0.00121259 t=12038
dkui 	倒是	c=94 d=3.02808 t=12038
dkuihb 	到时候	c=54 d=2.16426 t=12038
dkvid 	到职	c=1 d=3.03694e-10 t=12038
dkyb 	到右	c=1 d=0.0020396 t=12038
