# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	615008
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bao lu le 	暴露了	c=1 d=4.43275e-106 t=615008
bao mi 	保密	c=6 d=2.47143e-27 t=615008
bao ming 	包名	c=8 d=5.4835e-138 t=615008
bao ming 	报名	c=3 d=1.63857e-280 t=615008
bao po 	爆破	c=1 d=1.87713e-232 t=615008
bao qian 	抱歉	c=3 d=2.16897e-50 t=615008
bao sha cuo 	保啥错	c=1 d=0 t=615008
bao shang 	报上	c=0 d=1.45753e-139 t=615008
bao shang lai 	保上来	c=1 d=4.24409e-300 t=615008
bao shang lai 	报上来	c=1 d=1.46484e-138 t=615008
bao shang qu 	保上去	c=1 d=0 t=615008
bao tou 	包头	c=2 d=3.30024e-282 t=615008
bao wei 	包围	c=2 d=1.60638e-54 t=615008
bao wen 	报文	c=2 d=1.46461e-68 t=615008
bao xian 	保险	c=9 d=9.6128e-07 t=615008
bao xiao 	报销	c=8 d=1.6334e-58 t=615008
bao xiu 	保修	c=1 d=1.33316e-30 t=615008
bao xiu 	报修	c=1 d=5.78936e-12 t=615008
bao yan 	保研	c=1 d=0 t=615008
bao yang 	保养	c=1 d=1.74402e-14 t=615008
bao yin bao shi 	暴饮暴食	c=1 d=0 t=615008
bao yue 	包月	c=1 d=0 t=615008
bao zhang 	保障	c=4 d=1.96464e-33 t=615008
bao zhe 	抱着	c=1 d=3.88948e-156 t=615008
bao zheng 	保证	c=35 d=7.55209e-37 t=615008
bao zheng 	暴政	c=1 d=0 t=615008
bao zhi 	保值	c=1 d=4.32169e-131 t=615008
bao zhu 	保住	c=1 d=3.07648e-162 t=615008
bao zhuang 	包装	c=6 d=2.58598e-60 t=615008
bao zi 	包子	c=2 d=1.44189e-70 t=615008
bei 	倍	c=82 d=0.532592 t=615008
bei 	北	c=6 d=9.18483e-30 t=615008
bei 	呗	c=17 d=4.2498e-22 t=615008
bei 	背	c=10 d=0.12241 t=615008
bei 	被	c=505 d=0.797247 t=615008
bei 	贝	c=6 d=1.97348e-27 t=615008
bei 	辈	c=1 d=2.77151e-81 t=615008
bei ai 	悲哀	c=1 d=6.64759e-50 t=615008
bei dong 	被动	c=4 d=2.65893e-05 t=615008
bei er 	贝尔	c=1 d=1.1502e-58 t=615008
bei fang 	北方	c=3 d=1.04326e-57 t=615008
bei fen 	备份	c=38 d=0.718924 t=615008
bei hou 	背后	c=2 d=1.01684e-20 t=615008
