# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
djce 	单侧	c=1 d=0.053397 t=6937
djhh 	单行	c=2 d=0.0219278 t=6937
djkl 	单开	c=1 d=0.0816756 t=6937
djmu 	弹幕	c=1 d=0.00201931 t=6937
djtv 	单腿	c=1 d=0.183599 t=6937
dkda 	到达	c=481 d=16.4258 t=6937
dktl 	倒台	c=2 d=1.76059 t=6937
dktu 	道徒	c=2 d=0.535261 t=6937
dktv 	倒推	c=1 d=0.00121259 t=6937
dkui 	倒是	c=64 d=3.02808 t=6937
dkuihb 	到时候	c=31 d=2.16426 t=6937
dkyb 	到右	c=1 d=0.0020396 t=6937
dlbj 	待办	c=1 d=0.0154523 t=6937
dlbu 	待哺	c=1 d=0.00565622 t=6937
dlda 	代打	c=1 d=0.0450492 t=6937
dlxm 	代县	c=1 d=0.45612 t=6937
dmco 	点错	c=6 d=0.179287 t=6937
dmdo 	点多	c=1 d=9.93288e-10 t=6937
dmgo 	点过	c=6 d=0.00119529 t=6937
dmju 	电锯	c=1 d=0.00318278 t=6937
dmjy 	电竞	c=5 d=0.210777 t=6937
dmnj 	滇南	c=1 d=0.0655462 t=6937
doan 	多按	c=1 d=0.00458484 t=6937
dobz 	多倍	c=1 d=0.00232276 t=6937
dohh 	多行	c=9 d=0.147262 t=6937
dokl 	多开	c=3 d=0.181772 t=6937
dolm 	多练	c=4 d=0.995087 t=6937
dolz 	多类	c=1 d=2.42422e-06 t=6937
doqy 	多请	c=1 d=0.000812821 t=6937
doud 	多爽	c=1 d=0.000825105 t=6937
douh 	多上	c=1 d=9.56811e-11 t=6937
douknm 	多少年	c=1 d=0.0256042 t=6937
dovk 	多找	c=1 d=2.84485e-06 t=6937
dovs 	多种	c=1 d=1.88407e-11 t=6937
doxi 	多细	c=1 d=0.0208584 t=6937
doxm 	多线	c=1 d=0.000157671 t=6937
dphk 	顿号	c=2 d=5.82116e-10 t=6937
drc 	葮	c=1 d=0.0146253 t=6937
drju 	短剧	c=294 d=5.3329 t=6937
drjud 	短剧	c=1 d=0.244143 t=6937
drle 	端了	c=1 d=0.913931 t=6937
dryi 	短衣	c=1 d=0.151072 t=6937
dryu 	短语	c=3 d=2.65334e-08 t=6937
dsdk 	动刀	c=1 d=0.00332928 t=6937
dslt 	勭	c=1 d=0.00199922 t=6937
dsni 	懂你	c=2 d=3.32313e-07 t=6937
dvba 	对吧	c=83 d=8.42902 t=6937
dvbc 	队标	c=1 d=0.0581343 t=6937
dvbudv 	对不对	c=5 d=0.00238244 t=6937
dvde 	对的	c=1 d=0.00444934 t=6937
dvgo 	对过	c=14 d=1.59284 t=6937
dvma 	对嘛	c=3 d=0.00115923 t=6937
dvuh 	对上	c=15 d=0.634017 t=6937
dvxw 	对下	c=20 d=4.75518 t=6937
dvyn 	对印	c=10 d=2.68708e-07 t=6937
dvyy 	对应	c=108 d=6.25343 t=6937
dvyyy 	对应	c=2 d=0.105399 t=6937
dyge 	顶个	c=1 d=0.00887071 t=6937
dyih 	定长	c=1 d=3.09724e-06 t=6937
dysi 	顶死	c=1 d=0.0026189 t=6937
dywd 	玎	c=1 d=0.162838 t=6937
dyze 	定责	c=1 d=0.12307 t=6937
e 	二	c=10 d=1.21877 t=6937
eele 	饿了	c=2 d=0.432021 t=6937
eels 	恶龙	c=2 d=1.5772 t=6937
eh, 	恶化	c=2 d=0.0254811 t=6937
em 	呒	c=8 d=3.58714 t=6937
erhp 	二婚	c=2 d=0.00191125 t=6937
erhv 	而会	c=1 d=0.88692 t=6937
erlh 	二郎	c=1 d=3.03642e-08 t=6937
erta 	而他	c=1 d=3.19982e-07 t=6937
ertl 	二胎	c=1 d=0.00190171 t=6937
erty 	二厅	c=1 d=0.0145524 t=6937
erzu 	二组	c=1 d=0.239309 t=6937
f 	非	c=25 d=6.24595 t=6937
faa 	发	c=1 d=8.23115e-05 t=6937
fabj 	法办	c=8 d=0.338968 t=6937
fadb 	发抖	c=1 d=0.109154 t=6937
falg 	发冷	c=1 d=8.69654e-05 t=6937
faqm 	罚钱	c=1 d=0.205975 t=6937
fasd 	罚	c=3 d=1.85086 t=6937
fauw 	发刷	c=1 d=0.116484 t=6937
fawj 	发完	c=14 d=1.99562 t=6937
fax 	发现	c=4 d=3.97033e-08 t=6937
fazj 	发簪	c=1 d=0.0502874 t=6937
ffa 	分案	c=1 d=0.364219 t=6937
ffdm 	分点	c=1 d=0.00406639 t=6937
fflu 	分路	c=1 d=0.377192 t=6937
ffmu 	分母	c=8 d=0.697647 t=6937
ffpn 	分频	c=2 d=0.0158278 t=6937
ffti 	分体	c=15 d=0.803563 t=6937
fgiu 	凤雏	c=1 d=0.00304273 t=6937
fgjn 	封禁	c=1 d=5.17115e-07 t=6937
fhbu 	房补	c=4 d=1.1167 t=6937
fhco 	放错	c=1 d=0.000115067 t=6937
fhlq 	放流	c=2 d=2.73362e-11 t=6937
fhyuxy 	防御性	c=1 d=0.0211736 t=6937
fjbm 	翻遍	c=1 d=6.69159e-10 t=6937
fjbu 	反哺	c=1 d=0.0115047 t=6937
fjti 	繁体	c=13 d=2.49802 t=6937
fjtm 	翻天	c=1 d=0.128735 t=6937
fm, 	方面	c=1 d=0.22313 t=6937
fodj 	佛诞	c=1 d=3.03591e-06 t=6937
fp, 	分配	c=1 d=0.00269866 t=6937
fubcti 	副标题	c=1 d=0.13068 t=6937
fuge 	富哥	c=3 d=6.9605e-08 t=6937
fuhk 	符号	c=22 d=0.881819 t=6937
fupj 	复盘	c=6 d=0.51462 t=6937
fuqi 	氟气	c=20 d=2.06741 t=6937
fuvui 	辅助	c=1 d=0.0135009 t=6937
